ID,Marker,Stage,Tissue,RepID,Info,DataAuthor
ENCFF788SXX,H3K4me2,E14.5,Kidney,1,ExpAcc:ENCSR658TDS md5sum:6a2c2a715bd798fb728d4eccf8828bc1 URL:https://www.encodeproject.org/files/ENCFF788SXX/@@download/ENCFF788SXX.bam genomeversion:mm10,renlab
ENCFF173KEC,H3K4me2,E14.5,Kidney,2,ExpAcc:ENCSR658TDS md5sum:aa904b957db5edf53033ac8440807f44 URL:https://www.encodeproject.org/files/ENCFF173KEC/@@download/ENCFF173KEC.bam genomeversion:mm10,renlab
ENCFF751HOC,H3K4me3,E13.5,Neural-tube,1,ExpAcc:ENCSR704IWS md5sum:14d4ba29fd8304d39e584801a27f9b28 URL:https://www.encodeproject.org/files/ENCFF751HOC/@@download/ENCFF751HOC.bam genomeversion:mm10,renlab
ENCFF089HFY,H3K4me3,E13.5,Neural-tube,2,ExpAcc:ENCSR704IWS md5sum:2227b76fbe5a78e16a4a9813722b0815 URL:https://www.encodeproject.org/files/ENCFF089HFY/@@download/ENCFF089HFY.bam genomeversion:mm10,renlab
ENCFF959EUX,H3K36me3,E11.5,Neural-tube,1,ExpAcc:ENCSR445UYH md5sum:cea4f48649a64ae82a87f181c7d3aa56 URL:https://www.encodeproject.org/files/ENCFF959EUX/@@download/ENCFF959EUX.bam genomeversion:mm10,renlab
ENCFF167GLJ,H3K36me3,E11.5,Neural-tube,2,ExpAcc:ENCSR445UYH md5sum:0e8f308171aad6d9b1713811635f6a22 URL:https://www.encodeproject.org/files/ENCFF167GLJ/@@download/ENCFF167GLJ.bam genomeversion:mm10,renlab
ENCFF056AWO,H3K27me3,E16.5,Midbrain,1,ExpAcc:ENCSR465TIZ md5sum:534a02553476cc913e121c241b69f059 URL:https://www.encodeproject.org/files/ENCFF056AWO/@@download/ENCFF056AWO.bam genomeversion:mm10,renlab
ENCFF177EKG,H3K27me3,E16.5,Midbrain,2,ExpAcc:ENCSR465TIZ md5sum:1fe19bb093403dfa4355041bac3bcfb9 URL:https://www.encodeproject.org/files/ENCFF177EKG/@@download/ENCFF177EKG.bam genomeversion:mm10,renlab
ENCFF801DPR,H3K27me3,E16.5,Hindbrain,2,ExpAcc:ENCSR046SWI md5sum:95af8cb227b09347721049de8902e70c URL:https://www.encodeproject.org/files/ENCFF801DPR/@@download/ENCFF801DPR.bam genomeversion:mm10,renlab
ENCFF962RGZ,H3K27me3,E16.5,Hindbrain,1,ExpAcc:ENCSR046SWI md5sum:868f9b4eeace5e54b85fd42182ffd274 URL:https://www.encodeproject.org/files/ENCFF962RGZ/@@download/ENCFF962RGZ.bam genomeversion:mm10,renlab
ENCFF776ZBV,H3K4me1,E16.5,Intestine,2,ExpAcc:ENCSR829YGD md5sum:9973b570c4a9acc484b897a39e3ce56b URL:https://www.encodeproject.org/files/ENCFF776ZBV/@@download/ENCFF776ZBV.bam genomeversion:mm10,renlab
ENCFF727XUT,H3K4me1,E16.5,Intestine,1,ExpAcc:ENCSR829YGD md5sum:a7cbcf2427f1ecb822a2b473135cb7ec URL:https://www.encodeproject.org/files/ENCFF727XUT/@@download/ENCFF727XUT.bam genomeversion:mm10,renlab
ENCFF289GXU,H3K27ac,E11.5,Midbrain,1,ExpAcc:ENCSR088UKA md5sum:0269ce8b99a25bcd7db684568ce73b1c URL:https://www.encodeproject.org/files/ENCFF289GXU/@@download/ENCFF289GXU.bam genomeversion:mm10,renlab
